crop_id,harvested_organ,yield_unit,nutrient_id,extraction_kg_per_unit,absorption_kg_per_unit,source,region,year,dataset_version
cauliflower,flowers,t_ha,Mg,0.1,0.4,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
cauliflower,flowers,t_ha,S,0.1,1.2,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
cabbage,leaves,t_ha,N,3,5,Bertsch_F_2003+IPI_2007_tabla10,andina_colombia,2007,v2
cabbage,leaves,t_ha,P,0.4,0.7,Bertsch_F_2003+IPI_2007_tabla10,andina_colombia,2007,v2
cabbage,leaves,t_ha,K,2.6,5,Bertsch_F_2003+IPI_2007_tabla10,andina_colombia,2007,v2
cabbage,leaves,t_ha,Ca,0.8,3,Bertsch_F_2003+IPI_2007_tabla10,andina_colombia,2007,v2
cabbage,leaves,t_ha,Mg,0.2,0.5,Bertsch_F_2003+IPI_2007_tabla10,andina_colombia,2007,v2
cabbage,leaves,t_ha,S,0.2,0.4,Bertsch_F_2003+IPI_2007_tabla10,andina_colombia,2007,v2
spinach,leaves,t_ha,N,3.3,5.1,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
spinach,leaves,t_ha,P,0.6,0.8,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
spinach,leaves,t_ha,K,3.4,5.6,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
spinach,leaves,t_ha,Ca,,0.1,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
spinach,leaves,t_ha,Mg,,0.4,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
asparagus,shoots,t_ha,N,9.6,19.3,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
asparagus,shoots,t_ha,P,1.6,2.9,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
asparagus,shoots,t_ha,K,8.5,18,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
asparagus,shoots,t_ha,Ca,,10,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
asparagus,shoots,t_ha,Mg,,0.9,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
artichoke,fruit,t_ha,N,,8,Bertsch_F_2003_tabla10,andina_colombia,2003,v2
artichoke,fruit,t_ha,P,,2,Bertsch_F_2003_tabla10,andina_colombia,2003,v2
artichoke,fruit,t_ha,K,,13,Bertsch_F_2003_tabla10,andina_colombia,2003,v2
onion,bulb,t_ha,N,2.5,3.9,Bertsch_F_2003+IPNI_Norte_Latinoamerica_2007_tabla10,andina_colombia,2007,v2
onion,bulb,t_ha,P,0.4,0.6,Bertsch_F_2003+IPNI_Norte_Latinoamerica_2007_tabla10,andina_colombia,2007,v2
onion,bulb,t_ha,K,2.4,4,Bertsch_F_2003+IPNI_Norte_Latinoamerica_2007_tabla10,andina_colombia,2007,v2
onion,bulb,t_ha,Ca,0.8,4.4,Bertsch_F_2003+IPNI_Norte_Latinoamerica_2007_tabla10,andina_colombia,2007,v2
onion,bulb,t_ha,Mg,0.3,0.7,Bertsch_F_2003+IPNI_Norte_Latinoamerica_2007_tabla10,andina_colombia,2007,v2
onion,bulb,t_ha,S,0.2,0.8,Bertsch_F_2003+IPNI_Norte_Latinoamerica_2007_tabla10,andina_colombia,2007,v2
beet,root,t_ha,N,3.5,6,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
beet,root,t_ha,P,0.4,0.7,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
beet,root,t_ha,K,3.5,8.5,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
beet,root,t_ha,Ca,0.6,1.9,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
